Hole,Row_index,Ag_ppm,Al_ppm,Alpha,Alt1_Code,Alt1_Int,Alt1_Style,Alt2_Code,Alt2_Int,Alt2_Style,Alt3_Code,Alt3_Int,Alt3_Style,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Beta,Bi_ppm,Bin_variability,Ca_ppm,Carbonate_11300nm_Height,Carbonate_11300nm_WL,Carbonate_6500_Height,Carbonate_6500_WL,Carbonate_6500nm_Mask,Cd_ppm,Ce_ppm,Co_ppm,Computed_Plane_Azimuth,Computed_Plane_Dip,Cr_ppm,Cs_ppm,Cu_ppm,DS_U_TIR_TSA703_Group,DS_U_TIR_TSA703_Mineral,Density_g_cm3,Depth_m,Dip,Dip_Direction,Dy_ppm,Er_ppm,Eu_ppm,Fe_%,Felsic-Mafic_Index_Wvl,Felsic-Mafic_Index_wvl_RMean,Fill_Min1,Fill_Min2,Fill_Thickness,Fill_Type,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Ho_ppm,In_ppm,Infill_Texture,K_ppm,La_ppm,Li_ppm,Lith1_Code,Lith1_Colour1,Lith1_Colour2,Lith1_Colour_Tone,Lith1_GrainSize,Lith1_Struct_Int,Lith1_Struct_Pct,Lith1_Structure,Lith1_Texture1,Lith1_Texture2,Lith1_Texture3,Lith1_Texture_Int,Lith1_pc,Lith2_Code,Lith2_Colour1,Lith2_Colour2,Lith2_Colour_Tone,Lith2_GrainSize,Lith2_Strat,Lith2_Struct_Pct,Lith2_Structure,Lith2_Structure_Int,Lith2_Texture1,Lith2_Texture2,Lith2_pc,Logged_By,Lu_ppm,Mg_ppm,Min1_Code,Min1_Pct,Min1_Style,Min2_Code,Min2_Pct,Min2_Style,Mn_ppm,Mo_ppm,Na_ppm,Nat_Gamma_cps,Nb_ppm,Nd_ppm,Ni_ppm,P_ppm,Pb_ppm,Pr_ppm,Pt_ppb,RQD_Pct,RQD_m,Rb_ppm,Re_ppm,Recovery_Pct,Recovery_m,Res_Deep,Res_Shallow,SSD_gcc,S_ppm,Sb_ppm,Sc_ppm,Se_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Structure_Int,Structure_Type,Sulph1_Code,Sulph1_Pct,Sulph1_Style,Sulph2_Code,Sulph2_Pct,Sulph2_Style,Sulph3_Code,Sulph3_Pct,Sulph3_Style,Susc_SI_10-3,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,Vein1_Comp,Vein1_Morph,Vein1_Pct,Vein1_Style,Vein1_Thickness,Vein2_Comp,Vein2_Morph,Vein2_Pct,Vein2_Style,Vein2_Thickness,Vein3_Comp,Vein3_Morph,Vein3_Style,Vein3_pct,Vel_geomean_ms,Vel_std_ms,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm,pXRF_Ag_ppm,pXRF_As_ppm,pXRF_Au_ppm,pXRF_Ba_ppm,pXRF_Bi_ppm,pXRF_Ca_ppm,pXRF_Cd_ppm,pXRF_Co_ppm,pXRF_Cr_ppm,pXRF_Cs_ppm,pXRF_Cu_ppm,pXRF_Fe_ppm,pXRF_Hg_ppm,pXRF_K_ppm,pXRF_Mn_ppm,pXRF_Mo_ppm,pXRF_Ni_ppm,pXRF_P_ppm,pXRF_Pb_ppm,pXRF_Pt_ppm,pXRF_Rb_ppm,pXRF_S_ppm,pXRF_Sb_ppm,pXRF_Sc_ppm,pXRF_Se_ppm,pXRF_Sn_ppm,pXRF_Sr_ppm,pXRF_Te_ppm,pXRF_Th_ppm,pXRF_Ti_ppm,pXRF_U_ppm,pXRF_V_ppm,pXRF_W_ppm,pXRF_Y_ppm,pXRF_Zn_ppm,pXRF_Zr_ppm
dd0001,0,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Ferrohornblende,3.0329,57.46091800000001,,,,,,,,9703.3418,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,ac,5.0,ac,Xobs,,Xobs,,,,,,,,,,,,100.0,0.8,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6108.3564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,1,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Ferrohornblende,3.0329,57.931346,,,,,,,,9734.9453,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,ac,5.0,ac,Xobs,,Xobs,,,,,,,,,,,,100.0,0.8642857,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6129.6142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,2,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,0.006,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Ferrohornblende,3.0329,58.449206999999994,,,,,,,,9780.999,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,ac,5.0,ac,Xobs,,Xobs,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6183.2187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,3,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,0.006,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Ferrohornblende,3.0329,58.970909,,,,,,,,9776.0019,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,ac,5.0,ac,Xobs,,Xobs,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6150.8418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,4,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,0.011000000000000001,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Ferrohornblende,3.0329,59.453899,,,,,,,,10022.028,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,ac,5.0,ac,Xobs,,Xobs,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6661.7177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,5,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,0.011000000000000001,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Ferrohornblende,3.0329,59.97023000000001,,,,,,,,9968.0009,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,ac,5.0,ac,Xobs,,Xobs,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6373.3261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,6,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,0.013999999999999999,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Ferrohornblende,3.0329,60.449668,,,,,,,,10083.775,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,ac,5.0,ac,Xobs,,Xobs,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6436.6181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,7,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,0.013999999999999999,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Edenite,3.0329,60.953949,,,,,,,,9934.5546,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,ac,5.0,ac,Xobs,,Xobs,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6447.9282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,8,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,0.013000000000000001,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Ferrohornblende,3.0329,61.452312,,,,,,,,9877.6767,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6449.9843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,9,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,0.013000000000000001,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Ferrohornblende,3.0329,61.957599,,,,,,,,9946.5781,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6397.9843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
